Name,Source(s) Derived From,Natural or Artificial?
Choline,"Animal Sources, Plant SourcesCholine is found in eggs, beef, chicken, fish, cauliflower, spinach, soybeans, kidney beans, brown rice, and almonds. [1]",Natural
Choline Bitartrate,"Animal Sources, Plant Sources",Natural
Choline Chloride,"Animal Sources, Plant Sources",Natural
Chondroitin,Animal Sources,Natural
Chondroitin Sulfate,"Animal Sources, Chemical (Synthetic) SourcesIt is currently manufactured from natural sources such as; shark/beef cartilage or bovine trachea and also by synthetic means. [?]",Both (Can be derived from Natural & Artificial Sources)
Chromium,"Plant Sources, Other Natural Sources",Natural
Chromium Ascorbate,"Plant Sources, Other Natural Sources",Natural
Chromium Chloride,"Animal Sources, Plant Sources������Chromium can be sourced from brewer's yeast, fruits, vegetables, meats, and w",Natural
Chromium Nicotinate,Other Natural Sources,Natural
Chromium Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Chrysanthemum,Plant Sources,Natural
Chrysin,Plant Sources,Natural
Cichoric Acid,Plant Sources,Natural
Cider,Plant Sources,Natural
Cimicifuga,Plant Sources,Natural
Cinnamaldehyde,Plant Sources,Natural
Cinnamon,Plant Sources,Natural
Cinnamon Bark Oil,Plant Sources,Natural
Cinnamon Leaf Oil,Plant Sources,Natural
Citicoline,Other Natural Sources,Natural
Citric Acid,"Plant Sources, Chemical (Synthetic) SourcesCitric acid can be found naturally from many fruits such as citrus fruits. It can also be obtained synthetically using Aspergillus niger, a safe strain of black mold. [1]",Both (Can be derived from Natural & Artificial Sources)
Citrin,Animal Sources,Natural
Citron,Plant Sources,Natural
Citrulline,"Animal Sources, Plant Sources",Natural
Citrulline Alpha Ketoglutarate,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Citrus Blossoms,Plant Sources,Natural
Citrus Fiber,Plant Sources,Natural
Citrus Fruit,Plant Sources,Natural
Citrus Oil,Plant Sources,Natural
Clam Broth,"Animal Sources, Plant Sources",Natural
Clams,Animal Sources,Natural
Clarified Butter,Animal Sources,Natural
Cleavers,Plant Sources,Natural
Clementine,Plant Sources,Natural
Cloud Ear Mushrooms,Other Natural Sources,Natural
Cloves,Plant Sources,Natural
Cnicus,Plant Sources,Natural
Cnidium Monnier,Plant Sources,Natural
Cobalt,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Cobalt Carbonate,Other Natural Sources,Natural
Cobalt Nitrate,Other Natural Sources,Natural
Cobalt Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Cobalt Sulfate,Other Natural Sources,Natural
Cocoa,Plant Sources,Natural
Cocoa Butter,Plant Sources,Natural
Cocoa Nibs,Plant Sources,Natural
Coconut,Plant Sources,Natural
Coconut Cream,Plant Sources,Natural
Coconut Flour,Plant Sources,Natural
Coconut Milk,Plant Sources,Natural
Coconut Nectar,Plant Sources,Unknown
Coconut Oil,Plant Sources,Natural
Coconut Sugar,Plant Sources,Natural
Coconut Water,Plant Sources,Natural
Cod,Animal Sources,Natural
Cod Liver Oil,Animal Sources,Natural
Codonopsis,Plant Sources,Natural
Coenzyme Q10,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Coffea Arabica,Plant Sources,Natural
Coffee,Plant Sources,Natural
Coffee Beans,Plant Sources,Natural
Coix,Plant Sources,Natural
Coix Seed,Plant Sources,Natural
Cola Extract,Plant Sources,Natural
Colby Cheese,Animal Sources,Natural
Coleus Forskolii,Plant Sources,Natural
Collagen,Animal Sources,Natural
Collard Greens,Plant Sources,Natural
Collinsonia Canadensis,Plant Sources,Natural
Colloidal Silver,Other Natural Sources,Natural
Colombian Coffee,Plant Sources,Natural
Colostrum,Animal Sources,Natural
Colza Oil,Plant SourcesColza oil is obtained from various species of the rapeseed plant.,Natural
Comfrey,Plant Sources,Natural
Commercial Sorghum,"Animal Sources, Plant Sources",Natural
Compressed Yeast,"Plant Sources, Other Natural Sources",Natural
Conch,Animal Sources,Natural
Concord Grapes,Plant Sources,Natural
Confectioners Corn Flakes,Plant Sources,Natural
Confectioners Glaze,Other Natural Sources,Natural
Conjugated Linoleic Acid,Animal Sources,Natural
Convolvulus Pluricaulis,Plant Sources,Natural
Cooking Wine,Plant Sources,Natural
Copper,Other Natural Sources,Natural
Copper Chlorophyll,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Copper Gluconate,Other Natural Sources,Natural
Copper Glycinate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Copper Oxide,Other Natural Sources,Natural
Copper Proteinate,"Other Natural Sources, Chemical (Synthetic) Sources",Natural
Copper Sulfate,Other Natural Sources,Natural
Copra Meal,Plant Sources,Natural
Coral,Animal Sources,Natural
Coral Calcium,"Plant Sources, Other Natural Sources",Natural
Cordia Dichotoma,"Plant SourcesCordia Dichotoma is native to the Indomalaya ecozone, northern Australia, and western Melanesia. [1]",Natural
Cordyceps,Other Natural Sources,Natural
Coriander,Plant Sources,Natural
Cork,Plant Sources,Natural
Corn,Plant Sources,Natural
Corn Bran,Plant Sources,Natural
Corn Cider Vinegar,Plant Sources,Natural
Corn Germ,Plant Sources,Natural
Corn Gluten Meal,Plant Sources,Natural
Corn Oil,Plant Sources,Natural
Corn Salad,Plant Sources,Natural
Corn Silk,Plant Sources,Natural
Corn Smut,Plant Sources,Natural
Corn Starch,Plant Sources,Natural
Corn Sweeteners,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Corn Syrup,Plant Sources,Natural
Cornflowers,Plant Sources,Natural
Cornmeal,Plant Sources,Natural
Cornus,Plant Sources,Natural
Corydalis,Plant Sources,Natural
Cottage Cheese,Animal Sources,Natural
Cottonseed Meal,Plant Sources,Natural
Cottonseed Oil,Plant Sources,Natural
Couch Grass,Plant Sources,Natural
Couscous,Plant Sources,Natural
Cowhide,Animal Sources,Natural
Cowslip,Plant Sources,Natural
Crab,Animal Sources,Natural
Crab Meal,Animal Sources,Natural
Cracked Wheat,Plant Sources,Natural
Cracker Meal,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Cranberries,Plant Sources,Natural
Cranberry Beans,Plant Sources,Natural
Crayfish,Animal Sources,Natural
Cream,"Animal SourcesCream produced by cows, particularly Jersey cattle grazing on natural pasture often contains some natural carotenoid pigments derived from the plants they eat; this gives the cream a slight yellow tone, hence the name of the yellowish-white color cream. Cream from cows fed indoors, on grain or grain-based pellets, is white. [1]",Natural
Cream Cheese,Animal Sources,Natural
Creatine,Animal Sources,Natural
Creatine Ethyl Ester,Animal Sources,Natural
Creatine Phosphate,Animal Sources,Natural
Crickets,Animal Sources,Natural
Crisp Rice,Plant Sources,Natural
Croscarmellose Sodium,Chemical (Synthetic) Sources,Artificial
Crypthecodinium Cohni Oil,Plant Sources,Natural
Cryptoxanthin,"Animal Sources, Plant SourcesCryptoxanthin come from a variety of sources including the petals and flowers of plants in the genus Physalis, orange rind, papaya, egg yolk, butter, apples, and bovine blood serum. [1]",Natural
Crystalline Fructose,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Cubeb,Plant Sources,Natural
Cucumbers,Plant Sources,Natural
Culture Medium,"Animal Sources, Plant Sources, Other Natural SourcesThere are two major types of growth media: those used for cell culture, which use specific cell types derived from plants or animals, and microbiological culture, which are used for growing microorganisms, such as bacteria or yeast. [1]",Natural
Cultured Dextrose,"Plant Sources, Other Natural SourcesCultured Dextrose - Livestrong.com",Natural
Cultures,Other Natural Sources,Natural
Cumin,Plant Sources,Natural
Curcumin,Plant Sources,Natural
Curcuminoids,Plant Sources,Natural
Curd,Animal Sources,Natural
Curled Dock,Plant Sources,Natural
Currants,Plant Sources,Natural
Curry,Plant Sources,Natural
Curry Leaves,Plant Sources,Natural
Curry Powder,Plant Sources,Natural
Cutlassfish,Animal SourcesCutlassfish are found in seas throughout the world. [1],Natural
Cuttlefish Oil,Animal Sources,Natural
Cyanocobalamin,"Animal Sources, Plant Sources, Other Natural SourcesThe richest dietary sources of vitamin B12 are liver, especially lamb's liver, and kidneys. Eggs, cheese and some species of fish also supply small amounts, but vegetables and fruits are very poor sources. [1]",Natural
Cyanotis Vaga Extract,Plant Sources,Natural
Cyclodextrin,Chemical (Synthetic) Sources,Artificial
Cymbopogon,Plant Sources,Natural
Cynomorium,Plant Sources,Natural
Cypress,Plant Sources,Natural
Cysteine,"Animal Sources, Plant Sources",Natural
Cystine,Other Natural Sources,Natural
Cytidine Monophosphate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Cytosol,Animal Sources,Natural
D Pinitol,Plant Sources,Natural
Daikon,Plant Sources,Natural
Dairy Product Solids,Animal Sources,Natural
Dal,Plant Sources,Natural
Damiana,Plant Sources,Natural
Dandelion,Plant Sources,Natural
Dandelion Greens,Plant Sources,Natural
Dandelion Root,Plant Sources,Natural
Darjeeling Tea,Plant Sources,Natural
DATEM,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Dates,Plant SourcesDates are fruit of the Date Palm tree. [1],Natural
Decaffeinated Green Tea,Plant Sources,Natural
Defatted Soy Flour,Plant Sources,Natural
Defluorinated Phosphate,"Chemical (Synthetic) SourcesDefluorinated phosphate is created by heating it to extreme temperatures followed by adding phosphoric acid, soda ash, silica, and steam. [2]",Artificial
Deglycyrrhizinated Licorice,Plant SourcesDGL is made from licorice from which the glycyrrhizin has been removed. [1],Natural
Dehydrated Apricots,Plant Sources,Natural
Dehydroepiandrosterone,Animal Sources,Natural
Dehydrogenated Oil,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Deionized Water,Other Natural Sources,Natural
Demerara Sugar,Plant Sources,Natural
Dendrobium,Plant Sources,Natural
Devils Claw,Plant Sources,Natural
Dextrin,Plant Sources,Natural
Dextrose,"Plant SourcesGlucose exists in several different structures, but all of these structures can be divided into two families of mirror-images (stereoisomers). Only one set of these isomers exists in nature, those derived from the ""right-handed form"" of glucose, denoted D-glucose. D-glucose is often referred to as dextrose. [1]������Dextrose is derived from plants such as maize, rice, wheat, potato, cassava, arro",Natural
DHA Oil,"Animal Sources, Plant Sources",Natural
Diammonium Phosphate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Dian Hong Tea,Plant Sources,Natural
Diastase,Plant Sources,Natural
Diatomaceous Earth,Other Natural Sources,Natural
Dibencozide,"Animal Sources, Other Natural Sources",Natural
Dicalcium Phosphate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Dietary Fiber,Plant Sources,Natural
Diglycerides,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Dihydroxycholecalciferole,Chemical (Synthetic) Sources,Artificial
Diindolylmethane,"Plant SourcesFound in broccoli, Brussels sprouts, cabbage and kale. [1]",Natural
Diiodotyrosine,Animal Sources,Natural
Dill,Plant Sources,Natural
Dill Oil,Plant Sources,Natural
Dill Seed,Plant Sources,Natural
Dimethylethanolamine,"Animal Sources, Chemical (Synthetic) SourcesNatural sources of DMAE are found in salmon, anchovies, and sardines. [2]������There are also synthetic forms of DMAE such as, ",Both (Can be derived from Natural & Artificial Sources)
Dimethylglycine,"Animal Sources, Plant Sources",Natural
Dioscorea,Plant Sources,Natural
Diosgenin,Chemical (Synthetic) Sources,Artificial
Dipeptides,"Animal Sources, Plant Sources",Natural
Disodium 5 Ribonucleotides,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Disodium Guanylate,"Animal Sources, Plant Sources",Natural
Disodium Inosinate,Animal Sources,Natural
Disodium Phosphate,Other Natural Sources,Natural
Disodium Pyrophosphate,Chemical (Synthetic) Sources,Artificial
Disodium Succinate,Chemical (Synthetic) Sources,Artificial
DL Alpha Tocopheryl Acetate,Chemical (Synthetic) Sources,Artificial
DL Calcium Pantothenate,Chemical (Synthetic) Sources,Artificial
Docosahexaenoic Acid,"Animal Sources, Plant Sources",Natural
Docusate Sodium,Chemical (Synthetic) Sources,Artificial
Dolma,Plant Sources,Natural
Dong Quai,Plant Sources,Natural
Dried Bakery Products,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Dried Cranberries,Plant Sources,Natural
Dried Shrimp,Animal Sources,Natural
Duck,Animal Sources,Natural
Duck Broth,"Animal Sources, Plant Sources",Natural
Duckweed,Plant Sources,Natural
Dulse,Plant Sources,Natural
Dunaliella,Plant Sources,Natural
Durum,Plant Sources,Natural
Durum Flour,Plant Sources,Natural
Durum Semolina,Plant Sources,Natural
Dysprosium,Other Natural Sources,Natural
Ecdysterone,Animal Sources,Natural
Echinacea,Plant Sources,Natural
Edible Fatty Acids,"Animal Sources, Plant Sources",Natural
EDTA,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Eel,Animal Sources,Natural
Egg Whites,Animal Sources,Natural
Egg Yolks,Animal Sources,Natural
Eggplant,Plant Sources,Natural
Eggs,Animal Sources,Natural
Eicosapentaenoic Acid,"Animal Sources, Plant Sources",Natural
Elderberry,Plant Sources,Natural
Elecampane,Plant Sources,Natural
Emulsifiers,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Emulsion,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Endive,Plant Sources,Natural
Endomembrane Lipid Complex,Other Natural Sources,Natural
Enriched Unbleached Flour,Plant Sources,Natural
Enteric Coating,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Enterococcus Faecium,Other Natural Sources,Natural
Enzyme Modified Ingredient,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Enzymes,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Epazote,Plant Sources,Natural
Epigallocatechin Gallate,Plant Sources,Natural
Epimedium,Plant Sources,Natural
Erbium,Other Natural Sources,Natural
Eriocitrin,Plant Sources,Natural
Erythorbic Acid,"Plant Sources, Other Natural Sources",Natural
Erythritol,Plant Sources,Natural
Espresso,Plant Sources,Natural
Ester C,"Plant Sources, Chemical (Synthetic) SourcesEster-C contains mainly calcium ascorbate, but also contains small amounts of the vitamin C metabolites dehydroascorbic acid (oxidized ascorbic acid), calcium threonate, and trace levels of xylonate and lyxonate. [2]",Artificial
Ester Gum,Plant Sources,Natural & Possibly Unsafe
Ethanol,Plant Sources,Natural
Ethoxylated Diglycerides,Chemical (Synthetic) Sources,Artificial
Ethoxylated Monoglycerides,Chemical (Synthetic) Sources,Artificial
Ethoxyouin,Chemical (Synthetic) Sources,Artificial
Ethoxyquin,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Ethyl Cellulose,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Ethyl Maltol,"Plant Sources, Other Natural Sources",Natural
Ethyl Propionate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Ethylenediamine,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Ethylenediamine Dihydriodide,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Eucalyptus,Plant Sources,Natural
Eucalyptus Oil,Plant Sources,Natural
Eucommia,Plant Sources,Natural
Euphrasia,Plant Sources,Natural
Europium,Other Natural Sources,Natural
Eurycoma Longifolia,Plant Sources,Natural
Euterpe Oleracea,Plant Sources,Natural
Evaporated Cane Juice,Plant Sources,Natural
Evening Primrose Oil,Plant Sources,Natural
Evodia Rutaecarpa,Plant Sources,Natural
Evodiamine,Plant Sources,Natural
Eyebright,Plant Sources,Natural
Farmer Cheese,Animal Sources,Natural
Fatty Acid Salts,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Fava Bean Flour,Plant Sources,Natural
Fava Beans,Plant Sources,Natural
Feeding Oatmeal,Plant Sources,Natural
Fennel,Plant Sources,Natural
Fennel Oil,Plant Sources,Natural
Fenugreek,Plant Sources,Natural
Fermented Bean Paste,Plant Sources,Natural
Ferrous Fumarate,"Plant Sources, Other Natural SourcesFumaric acid is found in fumitory (Fumaria officinalis), bolete mushrooms (specifically Boletus fomentarius var. pseudo-igniarius), lichen, and Iceland moss. [2]",Natural
Ferrous Gluconate,"Plant Sources, Other Natural Sources",Natural
Ferrous Lactate,Other Natural Sources,Natural
Ferulic Acid,Plant Sources,Natural
Feta Cheese,Animal Sources,Natural
Feverfew,Plant Sources,Natural
Fibrosol,Plant Sources,Natural
Field Mint,Plant Sources,Natural
Fig Paste,Plant Sources,Natural
Figs,Plant Sources,Natural
Filberts,Plant Sources,Natural
Film Coating,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Fir Needle Oil,Plant Sources,Natural
Fish,Animal Sources,Natural
Fish Broth,Animal Sources,Natural
Fish Meal,Animal Sources,Natural
Fish Oil,Animal Sources,Natural
Fish Protein Concentrate,Animal Sources,Natural
Fish Sauce,"Animal Sources, Plant Sources, Other Natural SourcesMost fish sauces contain only fish and salt, others add a variety of herbs and spices. [1]",Natural
Flageolet Beans,Plant Sources,Natural
Flavin Mononucleotide,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Flavones,Plant Sources,Natural
Flavonoid,Plant Sources,Natural
Flavonols,Plant Sources,Natural
Flavoring,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) SourcesAll flavor ingredients without the words, ""artificial"" or ""natural"" will be tagged as, Both (Can be derived from Natural & Artificial Sources.) This information only means that it is possible the ingredient is of natural and/or artificial origin. Please use your own judgment when looking at food labels containing flavoring.",Both (Can be derived from Natural & Artificial Sources)
Flax Seeds,Plant Sources,Natural
Flaxseed Oil,Plant Sources,Natural
Fleece Flower,Plant Sources,Natural
Fleur De Sel,Other Natural Sources,Natural
Flies,Animal Sources,Natural
Flour,Plant Sources,Natural
Flour Salt,Other Natural Sources,Natural
Fluoride,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Fluorine,Other Natural Sources,Natural
Fo Ti,Plant Sources,Natural
Foam Control Agent,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Foie Gras,Animal Sources,Natural
Folic Acid,Plant Sources,Natural
Fontina Cheese,Animal Sources,Natural
Food Coloring,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) SourcesFood coloring can come from a number of sources such as plants, and animal parts.
Synthetic colors are most commonly derived from coal tar.",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Food Glaze,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) SourcesGlazes can be made from almost anything and can have several sub ingredients.",Both (Can be derived from Natural & Artificial Sources)
Formic Acid,"Animal Sources, Chemical (Synthetic) SourcesIn nature, formic acid is found in most ants and in stingless bees of the Oxytrigona genus. [1]Industrially, formic acid is produced from methanol. [1]",Both (Can be derived from Natural & Artificial Sources)
Forsythia,Plant Sources,Natural
Fractionated Vegetable Oil,Plant Sources,Natural
Fringe Tree Bark,Plant Sources,Natural
Fritillaria,Plant Sources,Natural
Fructan,Plant Sources,Natural
Fructooligosaccharides,"Plant Sources, Other Natural Sources, Chemical (Synthetic) SourcesFOS is extracted from fruits and vegetables like bananas, onions, chicory root, garlic, asparagus, barley, wheat, tomatoes, and leeks.",Both (Can be derived from Natural & Artificial Sources)
Fructose,Plant Sources,Natural
Fruit,Plant Sources,Natural
Fruit Juice,Plant Sources,Natural
Fruit Juice Color,Plant Sources,Natural
Fu Ling,Other Natural Sources,Natural
Fucoxanthin,Plant Sources,Natural
Fucus Vesiculosus,Plant Sources,Natural
Fuji Apples,Plant Sources,Natural
Fumaric Acid,"Plant Sources, Other Natural Sources",Natural
Fursultiamine,Animal Sources,Natural
Gadolinium,Other Natural Sources,Natural
Galactooligosaccharides,Other Natural Sources,Natural
Galangal,Plant Sources,Natural
Gallium,Other Natural Sources,Natural
Gamma Amino Butyric Acid,Animal Sources,Natural
Gamma Linoleic Acid,Plant Sources,Natural
Gamma Oryzanol,"Plant Sources, Other Natural Sources",Natural
Ganoderma,Plant Sources,Natural
Garam Masala,Plant Sources,Natural
Garbanzo Bean Flour,Plant Sources,Natural
Garcinia Cambogia Fruit,Plant Sources,Natural
Garden Angelica,Plant Sources,Natural
Garden Cress,Plant Sources,Natural
Gardenia,Plant Sources,Natural
Gardenia Blue,Plant Sources,Natural
Gardenia Yellow,Plant Sources,Natural
Garlic,Plant Sources,Natural
Garlic Chives,Plant Sources,Natural
Garlic Oil,Plant Sources,Natural
Garlic Pepper N Herb,Plant Sources,Natural
Garlic Salt,Plant Sources,Natural
Gelatin,"Animal Sources, Plant Sources",Natural
Gelatinized Wheat Starch,Plant Sources,Natural
Gellan Gum,Plant Sources,Natural
Genmaicha Tea,Plant Sources,Natural
Gentiana,Plant Sources,Natural
Geranium,Plant Sources,Natural
Germaben II,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Germanium,Other Natural Sources,Natural
Ghost Chili Pepper,Plant Sources,Natural
Giblets,Animal Sources,Natural
Ginger,Plant Sources,Natural
Ginger Oil,Plant Sources,Natural
Ginger Root,Plant Sources,Natural
Gingerbread,Plant Sources,Natural
Ginkgo Biloba,Plant Sources,Natural
Ginseng,Plant Sources,Natural
Glazing Agents,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Gliadin,Plant Sources,Natural
Glisodin,Plant Sources,Natural
Glucomannan,Plant Sources,Natural
Gluconic Acid,Plant Sources,Natural
Glucono Delta Acetone,Other Natural Sources,Natural
Glucono Delta Lactone,Other Natural Sources,Natural
Glucosamine,Plant Sources,Natural
Glucosamine Sulfate,Animal Sources,Natural
Glucose,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Glucose Oxidase,"Animal Sources, Plant SourcesGlucose oxidase is found in honey and acts as a natural preservative. [1]",Natural
Glucose Polymers,Plant Sources,Natural
Glucosidase,"Animal Sources, Plant SourcesGlucosidase enzymes are found in mammals as digestive enzymes, and plants as enzymes that break down starch. [1]",Natural
Glucuronic Acid,Animal SourcesGlucuronic acid is part of mucous animal secretions (such as saliva). [1],Natural
Glucuronolactone,"Animal Sources, Plant Sources",Natural
Glutamic Acid,Plant Sources,Natural
Glutamine,"Animal Sources, Plant Sources",Natural
Glutathione,Other Natural Sources,Natural
Gluten,Plant Sources,Natural
Gluten Meal,Plant Sources,Natural
Glutinous Rice,Plant Sources,Natural
Glycerated Cranberries,"Plant Sources, Other Natural Sources",Natural
Glyceride,"Animal Sources, Plant Sources",Natural
Glycerin,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Glycerin Fatty Acid Ester,"Animal Sources, Plant Sources",Natural
Glyceryl Behenate,Other Natural Sources,Natural
Glyceryl Monooleate,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Glyceryl Monostearate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Glycine,"Plant Sources, Other Natural Sources",Natural
Glycocyamine,Animal Sources,Natural
Glycomacropeptides,Animal Sources,Natural
Glycosaminoglycans,"Animal SourcesThere are many sources for Glycosaminoglycans including porcine tissue, bovine tissue, shellfish, and plants.",Natural
Goat Cheese,Animal Sources,Natural
Goat Milk,Animal Sources,Natural
Goji Berry,Plant Sources,Natural
Gold,Other Natural Sources,Natural
Golden Buffalo Flour,Plant Sources,Natural
Golden Eye Grass,Plant Sources,Natural
Golden Raisins,Plant Sources,Natural
Golden Syrup,Plant Sources,Natural
Goldenberry,Plant Sources,Natural
Goldenrod,Plant Sources,Natural
Goldenseal,Plant Sources,Natural
Goldenthread,Plant Sources,Natural
Gooseberry,Plant Sources,Natural
Gotu Kola,Plant Sources,Natural
Gouda Cheese,Animal Sources,Natural
Graham Flour,Plant Sources,Natural
Granny Smith Apples,Plant Sources,Natural
Grape Juice,Plant Sources,Natural
Grape Leaves,Plant Sources,Natural
Grape Must,Plant Sources,Natural
Grape Root,Plant Sources,Natural
Grape Seed Extract,Plant Sources,Natural
Grape Seed Oil,Plant Sources,Natural
Grape Skin Extract,Plant Sources,Natural
Grape Tomatoes,Plant Sources,Natural
Grapefruit,Plant Sources,Natural
Grapefruit Juice,Plant Sources,Natural
Grapefruit Seed Extract,Plant Sources,Natural
Grapes,Plant Sources,Natural
Green 3,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Green Beans,Plant Sources,Natural
Green Coffee Bean Extract,Plant Sources,Natural
Green Tea,Plant Sources,Natural
Green Tea Extract,Plant Sources,Natural
Grifola Frondosa,"Other Natural SourcesGrifola Frondosa grows in clusters at the base of trees, particularly oaks. [1]",Natural
Grilling Chicken,Plant Sources,Natural
Grindelia,Plant Sources,Natural
Grits,Plant Sources,Natural
Guajillo Pepper,Plant Sources,Natural
Guanosine Monophosphate,"Animal Sources, Plant Sources",Natural
Guar Gum,Plant Sources,Natural
Guarana Seed Extract,Plant Sources,Natural & Possibly Unsafe
Guava,Plant Sources,Natural
Guggulsterone,Plant Sources,Natural
Gum Arabic,"Plant SourcesGum arabic is taken from two sub-Saharan species of the acacia tree, Acacia senegal and Acacia seyal. [1]",Natural
Gymnema,Plant Sources,Natural
Gymnema Sylvestre,Plant Sources,Natural
Gymnemic Acids,Plant Sources,Natural
Gynostemma,Plant Sources,Natural
Habanero Peppers,Plant Sources,Natural
Hafnium,Other Natural Sources,Natural
HAI Amino Acid Extract,Plant Sources,Natural
Halibut,Animal Sources,Natural
Halite,Other Natural Sources,Natural
Ham,Animal Sources,Natural
Hannilase Enzyme,Animal Sources,Natural
Harissa,"Plant Sources, Other Natural Sources",Natural
Haritaki,Plant Sources,Natural
Hawthorn Berry,Plant Sources,Natural
Hazelnut Flour,Plant Sources,Natural
Hazelnut Liquor,Plant Sources,Natural
Hazelnut Oil,Plant Sources,Natural
Hazelnuts,Plant Sources,Natural
Hearts Of Palm,Plant Sources,Natural
Heavy Cream,Animal Sources,Natural
Helichrysum,Plant Sources,Natural
Hemicellulase,Plant Sources,Natural
Hemilase,Other Natural Sources,Natural
Hemp,Plant Sources,Natural
Hemp Nuts,Plant Sources,Natural
Hemp Oil,Plant Sources,Natural
Hemp Protein,Plant Sources,Natural
Herbs,Plant Sources,Natural
Hericium Erinaceus,"Other Natural SourcesIn the wild, these mushrooms are common during late summer and fall on hardwoods, particularly American Beech. [1]
This mushroom is cultivated commercially on logs or sterilized sawdust. [1]",Natural
Herring,Animal Sources,Natural
Hesperidin,Plant Sources,Natural
Hexacosanol,Plant Sources,Natural
Hexaglycerol,Chemical (Synthetic) Sources,Artificial
Hibiscus,Plant Sources,Natural
Hickory Oil,Plant Sources,Natural
Hickory Smoke Flavor,Plant Sources,Natural
High Fructose Corn Syrup,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
High Fructose Syrup,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
